"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\jcall\navigeniusbeta\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\jcall\navigeniusbeta\package-lock.json", "JSON", 33602, 0, 0, 0, 0, 0, 0, 1, 33603
"c:\Users\jcall\navigeniusbeta\package.json", "JSON", 69, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\jcall\navigeniusbeta\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jcall\navigeniusbeta\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\jcall\navigeniusbeta\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\jcall\navigeniusbeta\server.js", "JavaScript", 0, 28, 0, 0, 0, 0, 5, 10, 43
"c:\Users\jcall\navigeniusbeta\src\App.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 8, 65
"c:\Users\jcall\navigeniusbeta\src\components\auth\forgot\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 1, 7, 61
"c:\Users\jcall\navigeniusbeta\src\components\auth\login\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 10, 128
"c:\Users\jcall\navigeniusbeta\src\components\auth\otp\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 4, 8, 46
"c:\Users\jcall\navigeniusbeta\src\components\auth\register\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 138, 0, 0, 17, 155
"c:\Users\jcall\navigeniusbeta\src\components\header\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 8, 85
"c:\Users\jcall\navigeniusbeta\src\components\home\Coordinates.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\jcall\navigeniusbeta\src\components\home\Fmap.jsx", "JavaScript JSX", 0, 0, 0, 0, 95, 0, 0, 18, 113
"c:\Users\jcall\navigeniusbeta\src\components\home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\jcall\navigeniusbeta\src\components\home\Map.jsx", "JavaScript JSX", 0, 0, 0, 0, 134, 0, 2, 18, 154
"c:\Users\jcall\navigeniusbeta\src\components\home\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 3, 5
"c:\Users\jcall\navigeniusbeta\src\components\main\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 5, 7, 49
"c:\Users\jcall\navigeniusbeta\src\components\profile\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 344, 0, 3, 33, 380
"c:\Users\jcall\navigeniusbeta\src\components\profile\modal\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 6, 36
"c:\Users\jcall\navigeniusbeta\src\contexts\PrivateRoute.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\jcall\navigeniusbeta\src\contexts\authContext\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 10, 81
"c:\Users\jcall\navigeniusbeta\src\firebase\auth.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 10, 59
"c:\Users\jcall\navigeniusbeta\src\firebase\firebase.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\jcall\navigeniusbeta\src\index.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\jcall\navigeniusbeta\src\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\jcall\navigeniusbeta\tailwind.config.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 0, 14
"c:\Users\jcall\navigeniusbeta\webpack.config.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 5, 34
"Total", "-", 33696, 224, 38, 3, 1159, 20, 45, 233, 35418